_id,user_community,tweet_community,ecommerce_community,blog_community,label
5d6365e04285a7c33179ca30,4,-1,71,5,-1
5d6365dd4285a7c33179c97c,4,-1,59,-1,-1
5d6365ea4285a7c33179cd16,4,-1,149,-2,-1
5d6365f44285a7c33179cf1a,4,-1,90,-2,-1
5d6366244285a7c33179ef24,0,-2,-1,-2,-1
5d6366324285a7c33179f6df,0,-2,108,-1,-1
5d6366344285a7c33179f720,0,0,89,5,-1
5d6366534285a7c33179fd34,4,0,148,5,-1
5d6366564285a7c33179ff89,4,0,160,-2,-1
5d6366724285a7c3317a2a7f,17,56,-1,-2,-1
5d6366784285a7c3317a2ccc,17,-1,66,-2,-1
5d63668c4285a7c3317a3233,0,-2,-1,-2,-1
5d6366a14285a7c3317a35a4,0,-2,-1,-2,-1
5d6366ac4285a7c3317a38f4,0,0,109,-1,-1
5d63670a4285a7c3317a6565,4,-1,53,-1,-1
5d6367124285a7c3317a65ee,0,-2,-1,-2,-1
5d648f7f7d7dbe4bc487c399,0,0,135,-2,-1
5d648f7f7d7dbe4bc487c3c4,0,-2,-1,-2,-1
5d648f7f7d7dbe4bc487c416,0,-2,-1,-2,-1
5d648f7f7d7dbe4bc487c56e,0,-2,-1,-2,-1
5d648f807d7dbe4bc487c5d1,0,-2,-1,-2,-1
5d648f807d7dbe4bc487c6bc,31,-2,-1,-2,-1
5d648f807d7dbe4bc487c6b8,0,-2,-1,-2,-1
5d648f807d7dbe4bc487c6bd,13,-2,182,-1,-1
5d648f817d7dbe4bc487c8d0,3,0,-1,-2,-1
5d648f817d7dbe4bc487c99c,3,-2,-1,-2,-1
5d648f817d7dbe4bc487c9a6,31,-2,-1,-2,-1
5d648f817d7dbe4bc487c9c9,0,-2,-1,-2,-1
5d648f817d7dbe4bc487ca65,0,-2,-1,-2,-1
5d648f817d7dbe4bc487ca98,0,-2,-1,-2,-1
5d648f827d7dbe4bc487ca9c,0,-1,65,56,-1
5d648f827d7dbe4bc487cabc,22,-2,-1,-2,-1
5d648f827d7dbe4bc487cc05,0,-2,-1,-1,-1
5d648f827d7dbe4bc487cc07,31,-2,-1,-2,-1
5d648f827d7dbe4bc487cc4c,38,-2,-1,-2,-1
5d648f827d7dbe4bc487cc56,38,-2,-1,-2,-1
5d648f827d7dbe4bc487cc6b,29,-2,-1,-2,-1
5d648f827d7dbe4bc487cc9e,26,0,152,22,-1
5d648f827d7dbe4bc487ccc4,25,-2,-1,-2,-1
5d648f837d7dbe4bc487cdbc,25,-2,-1,-2,-1
5d648f837d7dbe4bc487cdba,0,-2,-1,-2,-1
5d648f837d7dbe4bc487cde7,25,-1,190,-1,-1
5d648f837d7dbe4bc487cddd,25,-2,-1,-2,-1
5d648f837d7dbe4bc487ce1d,25,-2,-1,-2,-1
5d648f837d7dbe4bc487ce1a,0,-2,-1,-2,-1
5d648f837d7dbe4bc487ce1e,25,-2,-1,-2,-1
5d648f837d7dbe4bc487ce22,10,-2,-1,-2,-1
5d648f837d7dbe4bc487ce3c,29,-2,-1,-2,-1
5d648f837d7dbe4bc487ce47,25,-2,-1,-2,-1
5d6367214285a7c3317a6a10,0,-2,-1,-2,-1
5d63675d4285a7c3317ac490,17,0,178,-1,-1
5d63676a4285a7c3317ac59e,0,0,16,-1,-1
5d6367904285a7c3317acd1f,28,0,111,5,-1
5d6367a54285a7c3317acf41,0,0,-1,-2,-1
5d6367b34285a7c3317acfee,11,0,135,-2,-1
5d6367c74285a7c3317ad29a,16,-2,-1,-2,-1
5d6367df4285a7c3317ad4e7,16,-1,22,-2,-1
5d6368094285a7c3317ade6d,16,-2,-1,-2,-1
5d6368834285a7c3317aecee,11,-1,105,4,-1
5d6368cd4285a7c3317b0f07,4,-1,71,5,-1
5d6368d04285a7c3317b0fd0,0,-2,-1,-2,-1
5d6368d14285a7c3317b0fd1,11,-2,150,5,-1
5d6368fc4285a7c3317b4a4f,11,-1,107,-2,-1
5d6368ff4285a7c3317b4a59,4,91,27,-2,-1
5d6369594285a7c3317b7007,0,-2,-1,-2,-1
5d6369654285a7c3317b72ea,11,-2,-1,-2,-1
5d6369744285a7c3317b75e2,11,0,34,-1,-1
5d63697a4285a7c3317b7bd8,28,-1,142,-1,-1
5d6369974285a7c3317b8343,0,-2,-1,-2,-1
5d6369b54285a7c3317b8a5d,0,-2,-1,-2,-1
5d6369c64285a7c3317b8dbc,4,0,165,-1,-1
5d6369dd4285a7c3317b91cc,0,0,184,-2,-1
5d6369de4285a7c3317b91cf,0,-2,132,14,-1
5d636a024285a7c3317b9261,0,-2,-1,-2,-1
5d636a054285a7c3317b926e,11,-2,-1,-2,-1
5d636a2a4285a7c3317b9568,0,0,64,4,-1
5d636a304285a7c3317b96ae,0,-2,-1,-2,-1
5d636a314285a7c3317b96af,0,-2,-1,-2,-1
5d648f837d7dbe4bc487d037,0,-2,-1,-2,-1
5d648f847d7dbe4bc487d062,7,-2,-1,-2,-1
5d648f847d7dbe4bc487d069,0,-2,-1,-2,-1
5d648f847d7dbe4bc487d080,47,-2,-1,-2,-1
